id,cidade,area,quartos,banheiros,estacionamento,andares,animais,moveis,taxa_condominio,aluguel,seguro_incendio,total
78,Belo Horizonte,170,4,3,4,9,true,true,74400,270000,,377600
79,São Paulo,45,1,1,0,1,true,true,30000,124000,,155600
80,São Paulo,42,1,1,1,15,true,true,68600,350000,,435400
81,São Paulo,164,4,4,3,1,true,true,184000,600000,,846700
82,São Paulo,70,3,1,1,1,true,true,70000,102000,,193300
83,Porto Alegre,100,4,3,1,8,true,true,60000,220000,,299200
84,São Paulo,64,2,2,2,4,true,true,130000,450000,,629800
85,Belo Horizonte,68,2,1,1,3,true,true,32000,120000,,156300
86,Belo Horizonte,75,2,2,2,14,true,true,62000,250000,,341800
87,São Paulo,600,4,4,4,9,true,true,740000,850000,,1938000
88,São Paulo,63,2,2,0,15,true,true,59000,155000,,231200
89,São Paulo,145,3,4,3,1,true,true,120000,600000,,802700
90,São Paulo,85,2,2,2,3,true,true,150000,280000,,462800
91,São Paulo,254,4,4,4,7,true,true,336600,900000,,1428000
92,Porto Alegre,350,4,4,4,-,true,true,100,900000,,952000
93,São Paulo,300,4,4,3,-,true,true,0,350000,,413700
94,Belo Horizonte,296,4,3,2,-,true,true,0,1350000,,1415000
95,São Paulo,64,2,2,2,8,true,true,45000,280000,,331600
96,São Paulo,133,3,2,0,6,true,true,81300,295700,,384600
97,Campinas,44,1,1,0,7,true,true,35000,55000,,91900
98,Campinas,240,3,4,2,-,true,true,0,300000,,329600
99,Porto Alegre,70,3,2,1,4,true,true,49000,250000,,303500
100,São Paulo,22,1,1,0,26,true,true,30200,205000,,242300
101,Porto Alegre,50,1,1,1,1,true,true,35000,95000,,136400
102,Porto Alegre,67,3,2,2,4,true,true,60000,220000,,288300
103,São Paulo,31,1,1,0,6,true,true,43000,230000,,276000
104,Rio de Janeiro,90,2,1,1,1,true,true,85000,346800,,455400
105,Rio de Janeiro,109,3,3,1,1,true,true,200000,380000,,614900
106,Belo Horizonte,400,4,2,2,-,true,true,0,250000,,261500
107,São Paulo,300,4,5,4,-,true,true,0,1400000,,1538000
108,Campinas,284,4,3,3,4,true,true,234000,600000,,890000
109,Porto Alegre,70,2,1,1,3,true,true,36000,240000,,282600
110,Rio de Janeiro,309,4,5,4,7,true,true,266100,650000,,992700
111,São Paulo,70,2,1,0,-,true,true,0,210000,,226600
112,São Paulo,360,3,4,1,10,true,true,230000,1000000,,1301000
113,São Paulo,30,1,1,1,10,true,true,88600,150000,,240600
114,Campinas,80,2,2,2,11,true,true,83200,220000,,323100
115,Belo Horizonte,133,4,4,3,6,true,true,150000,700000,,939400
116,São Paulo,38,1,1,1,14,true,true,162000,280000,,473500
117,São Paulo,73,2,2,1,7,true,true,110000,350000,,474500
118,São Paulo,155,3,4,2,4,true,true,150000,200000,,367600
119,São Paulo,63,2,2,1,15,true,true,35700,320000,,364800
120,São Paulo,58,2,1,1,1,true,true,0,140000,,141800
121,São Paulo,48,1,1,0,9,true,true,37700,345000,,387100
122,São Paulo,210,3,4,3,7,true,true,170000,279000,,536000
123,Belo Horizonte,100,3,2,2,2,true,true,34000,160000,,214500
124,São Paulo,94,3,2,2,1,true,true,133700,357000,,509300
125,São Paulo,94,3,3,2,3,true,true,122000,501000,,668900
126,São Paulo,76,3,1,1,4,true,true,120000,250000,,399900
127,São Paulo,192,3,3,2,13,true,true,210000,780000,,1063000
128,São Paulo,217,3,4,3,1,true,true,288400,650000,,946700
129,São Paulo,68,2,1,1,5,true,true,61000,140000,,206300
130,São Paulo,110,3,2,2,2,true,true,114500,240000,,382300
131,Belo Horizonte,95,2,2,1,3,true,true,66000,160000,,244600
132,São Paulo,900,4,6,8,-,true,true,0,1500000,,1964000
133,São Paulo,34,1,1,0,5,true,true,34700,120000,,160800
134,São Paulo,192,3,4,3,5,true,true,200000,800000,,1010000
135,Porto Alegre,62,2,2,1,9,true,true,35000,180000,,225200
136,São Paulo,180,3,3,4,-,true,true,0,370000,,394000
137,Campinas,44,1,1,0,3,true,true,35000,91600,,129000
138,Belo Horizonte,100,2,1,1,1,true,true,25000,170000,,208900
139,Rio de Janeiro,140,3,3,1,24,true,true,90000,137000,,238800
140,São Paulo,170,3,3,3,8,true,true,157000,280000,,505400
141,São Paulo,100,3,2,2,-,true,true,0,160000,,177500
142,São Paulo,75,3,2,2,4,true,true,65200,160000,,235500
143,Rio de Janeiro,52,2,1,0,2,true,true,20000,120000,,145900
144,Campinas,999,5,7,8,-,true,true,0,1400000,,1488000
145,São Paulo,270,4,4,4,8,true,true,220000,700000,,1079000
146,Belo Horizonte,50,2,1,1,1,true,true,16000,93000,,116300
147,Campinas,200,3,3,2,-,true,true,65000,221000,,307800
148,São Paulo,71,2,2,0,16,true,true,43000,192000,,247500
149,São Paulo,500,5,4,6,-,true,true,0,1300000,,1345000
150,São Paulo,60,2,1,0,-,true,true,0,108000,,119100
151,São Paulo,110,2,1,0,8,true,true,110000,130000,,250100
152,São Paulo,210,3,3,4,-,true,true,0,329400,,362000
153,São Paulo,220,3,4,3,8,true,true,202100,600000,,909400
154,Belo Horizonte,200,3,2,5,-,true,true,0,400000,,427000
155,São Paulo,130,3,4,3,2,true,true,230000,425000,,710600
156,São Paulo,65,2,2,2,7,true,true,103700,400000,,533300
157,São Paulo,96,3,2,2,17,true,true,80400,320000,,429500
158,São Paulo,660,4,5,5,12,true,true,480000,2000000,,2680000
159,Rio de Janeiro,107,3,2,0,7,true,true,146000,320000,,497200
160,Rio de Janeiro,105,3,2,0,1,true,true,74000,220000,,297800
161,Rio de Janeiro,100,3,2,0,7,true,true,90000,329000,,434200
162,São Paulo,287,3,4,4,-,true,true,0,900000,,956600
163,Campinas,24,1,1,0,1,true,true,23000,118000,,143400
164,São Paulo,22,1,1,0,-,true,true,0,97600,,99100
165,São Paulo,70,1,1,1,-,true,true,0,252900,,271000
166,Porto Alegre,44,1,1,1,2,true,true,25000,150000,,178900
167,São Paulo,150,3,2,2,-,true,true,0,250000,,253800
168,São Paulo,90,1,2,2,9,true,true,99800,290000,,415500
169,São Paulo,200,4,4,2,8,true,true,300000,280000,,666600
170,São Paulo,320,8,4,0,-,true,true,45000,1050000,,1146000
171,Porto Alegre,90,2,1,1,2,true,true,55000,170000,,238500
172,São Paulo,240,4,4,3,9,true,true,250000,214400,,550600
173,São Paulo,154,4,3,3,21,true,true,168400,700000,,979300
174,São Paulo,60,2,2,2,2,true,true,234000,323000,,589500
175,Campinas,101,3,2,0,5,true,true,78000,238000,,328200
176,Porto Alegre,140,3,4,2,-,true,true,0,309000,,314500
177,São Paulo,500,4,5,8,-,true,true,0,1500000,,1708000
178,São Paulo,110,3,3,3,4,true,true,119500,235000,,426200
179,São Paulo,110,3,3,2,-,true,true,0,480000,,492300
180,Belo Horizonte,90,2,2,2,3,true,true,20000,200000,,231100
181,São Paulo,384,4,6,4,3,true,true,350000,1500000,,1904000
182,São Paulo,57,2,1,1,7,true,true,57000,150000,,215700
183,São Paulo,160,3,3,2,5,true,true,165000,150000,,358900
184,São Paulo,39,1,1,0,8,true,true,33000,125000,,161500
185,Campinas,78,1,2,1,4,true,true,0,229000,,246300
186,Porto Alegre,36,1,1,1,-,true,true,0,76200,,79100
187,Campinas,70,2,1,1,1,true,true,55800,120000,,177400
188,Belo Horizonte,45,1,1,1,4,true,true,30000,320000,,354300
189,São Paulo,200,3,4,3,1,true,true,350000,850000,,1336000
190,São Paulo,100,3,3,3,-,true,true,0,430000,,448500
191,São Paulo,42,1,1,1,14,true,true,0,500000,,506400
192,São Paulo,280,4,4,1,1,true,true,300000,800000,,1139000
193,São Paulo,28,1,1,1,13,true,true,61500,280000,,349300
194,São Paulo,30,1,1,0,-,true,true,29600,182600,,217600
195,Belo Horizonte,85,3,2,1,1,true,true,33700,150000,,194500
196,Campinas,83,1,1,1,4,true,true,50000,108000,,165300
197,Campinas,85,3,2,2,16,true,true,55000,330000,,404200
198,Belo Horizonte,90,3,2,2,3,true,true,32500,160000,,205200
199,Belo Horizonte,50,2,1,0,5,true,true,0,90000,,101200
200,Rio de Janeiro,50,1,1,0,8,true,true,60000,290000,,367200
201,Belo Horizonte,300,3,2,3,-,true,true,0,670000,,734900
202,Porto Alegre,39,1,1,0,7,true,true,35000,85000,,124000
203,São Paulo,750,4,4,6,-,true,true,0,1500000,,1731000
204,Porto Alegre,60,2,1,0,1,true,true,22200,110000,,138500
205,Rio de Janeiro,68,2,1,0,4,true,true,75000,125000,,202600
206,São Paulo,70,2,1,1,-,true,true,23000,125000,,154600
207,São Paulo,90,2,2,1,6,true,true,90000,650000,,757200
208,Rio de Janeiro,258,5,6,0,-,true,true,0,870000,,950300
209,São Paulo,200,2,2,6,-,true,true,0,450000,,486000
210,São Paulo,123,2,2,2,6,true,true,180000,299000,,545300
211,São Paulo,127,3,2,2,-,true,true,22000,215000,,247000
212,Belo Horizonte,180,4,2,2,-,true,true,0,180000,,204000
213,São Paulo,110,3,2,0,-,true,true,0,290000,,332800
214,Rio de Janeiro,70,2,2,1,7,true,true,58500,171900,,240400
215,São Paulo,35,1,1,1,8,true,true,72000,300000,,388900
216,São Paulo,219,3,2,2,-,true,true,0,290000,,309400
217,Rio de Janeiro,25,1,1,0,-,true,true,5000,70000,,76000
218,Rio de Janeiro,170,4,5,0,10,true,true,120000,710000,,903100
219,Rio de Janeiro,45,1,1,0,8,true,true,90000,157000,,258900
220,Belo Horizonte,420,4,4,2,-,true,true,0,700000,,731500
221,Porto Alegre,46,1,1,0,4,true,true,0,104000,,110400
222,São Paulo,145,3,3,2,1,true,true,108800,580000,,721200
223,Belo Horizonte,59,2,2,1,2,true,true,19000,110000,,136400
224,Belo Horizonte,225,4,3,0,8,true,true,185000,750000,,991600
225,São Paulo,210,4,4,3,3,true,true,227000,467500,,811500
226,Porto Alegre,76,1,1,0,-,true,true,20900,124900,,152900
227,São Paulo,220,3,4,3,2,true,true,250000,515000,,896600
228,São Paulo,109,3,2,2,7,true,true,174600,250000,,441200
229,Belo Horizonte,95,2,1,1,3,true,true,64600,100000,,178000
230,São Paulo,32,1,1,0,-,true,true,28000,150000,,185000
231,São Paulo,480,4,6,5,9,true,true,666000,1500000,,2491000
232,São Paulo,53,1,1,1,3,true,true,69400,439000,,534000
233,São Paulo,40,1,1,0,-,true,true,0,78000,,80900
234,São Paulo,50,1,1,1,4,true,true,50000,322300,,386400
235,São Paulo,60,1,1,0,-,true,true,0,130000,,157500
236,Porto Alegre,64,2,2,2,7,true,true,45000,150000,,202200
237,Rio de Janeiro,140,3,3,2,4,true,true,228000,1200000,,1497000
238,São Paulo,121,3,3,1,12,true,true,80000,204000,,320000
239,Campinas,43,1,1,1,4,true,true,49800,210000,,270900
240,São Paulo,20,1,1,1,3,true,true,170000,136000,,307800
241,Campinas,58,2,1,1,3,true,true,28900,95000,,126300
242,Belo Horizonte,570,5,6,7,-,true,true,0,833000,,934000
243,São Paulo,88,2,1,1,2,true,true,98000,279000,,380600
244,São Paulo,89,3,2,2,19,true,true,90000,600000,,716100
245,Porto Alegre,47,1,1,1,1,true,true,40000,220000,,263300
246,São Paulo,40,1,1,0,-,true,true,0,110000,,116700
247,Rio de Janeiro,40,1,1,0,1,true,true,38600,195000,,245300
248,Rio de Janeiro,60,1,2,1,3,true,true,40000,75000,,124000
249,São Paulo,25,1,1,0,14,true,true,25700,165000,,192800
250,Porto Alegre,50,2,1,0,13,true,true,34000,113000,,151700
251,Porto Alegre,90,3,1,0,1,true,true,14500,113000,,134700
252,São Paulo,173,3,3,3,2,true,true,300000,200000,,585100
253,Campinas,91,3,2,2,12,true,true,70000,225000,,315400
254,São Paulo,90,3,2,2,6,true,true,171000,120000,,303500
255,São Paulo,530,5,6,4,2,true,true,830000,1500000,,2849000
256,Belo Horizonte,155,1,4,0,4,true,true,111700000,279000,,112000000
257,São Paulo,40,1,1,0,-,true,true,0,130000,,131700
258,São Paulo,296,4,5,3,3,true,true,0,1500000,,1519000
259,São Paulo,87,3,2,1,17,true,true,85000,140000,,246800
260,São Paulo,300,3,3,5,-,true,true,0,500000,,566000
261,São Paulo,136,3,3,3,13,true,true,143000,420600,,605400
262,São Paulo,52,2,1,0,4,true,true,0,134000,,135700
263,Porto Alegre,94,2,2,2,8,true,true,60000,290000,,377300
264,Rio de Janeiro,300,4,5,3,7,true,true,385000,1275000,,1752000
265,Rio de Janeiro,100,3,3,1,3,true,true,85000,322900,,422100
266,São Paulo,500,4,6,3,-,true,true,646600,730000,,1641000
267,São Paulo,240,3,4,3,3,true,true,360000,495000,,961300
268,Belo Horizonte,308,2,3,3,-,true,true,0,200000,,220400
269,São Paulo,350,4,5,4,15,true,true,270000,459000,,868300
270,São Paulo,75,2,2,0,2,true,true,57000,145000,,203900
271,São Paulo,155,3,2,3,4,true,true,260000,1170000,,1512000
272,São Paulo,260,3,5,4,12,true,true,222700,600000,,977200
273,São Paulo,80,2,2,1,-,true,true,0,150000,,170700
274,Rio de Janeiro,85,3,1,1,6,true,true,81000,199800,,292100
275,São Paulo,120,2,2,2,22,true,true,140000,350000,,532000
276,São Paulo,100,2,2,1,-,true,true,0,197000,,200000
277,São Paulo,240,4,5,4,6,true,true,186900,350000,,613100
278,São Paulo,360,7,6,6,-,true,true,0,527000,,559500
279,São Paulo,42,1,1,0,-,true,true,0,110000,,111700
280,São Paulo,33,1,1,1,14,true,true,60000,280000,,354800
281,Rio de Janeiro,48,1,1,0,1,true,true,62600,102000,,171300
282,Rio de Janeiro,36,1,1,0,5,true,true,35000,113000,,153700
283,São Paulo,270,6,3,6,-,true,true,0,450000,,498500
284,Campinas,75,2,1,1,2,true,true,67000,120000,,200700
285,Rio de Janeiro,46,2,1,0,3,true,true,27000,160000,,189100
286,São Paulo,350,3,3,3,-,true,true,0,1000000,,1144000
287,Porto Alegre,131,3,3,1,10,true,true,162500,175000,,352200
288,Campinas,90,3,2,1,3,true,true,92000,130000,,236600
289,Rio de Janeiro,26,1,1,0,4,true,true,39000,165000,,218200
290,Rio de Janeiro,44,1,1,0,3,true,true,40000,110000,,152900
291,São Paulo,70,2,2,0,-,true,true,0,188000,,190900
292,Belo Horizonte,40,1,1,0,-,true,true,0,90000,,91500
293,Belo Horizonte,320,4,2,4,-,true,true,0,320000,,345900
294,São Paulo,213,2,2,3,-,true,true,0,515000,,522800
295,São Paulo,80,2,1,0,1,true,true,0,110000,,111400
296,Campinas,70,1,1,0,6,true,true,50000,80000,,134100
297,Rio de Janeiro,60,2,1,1,5,true,true,69000,150000,,223500
298,São Paulo,270,4,4,4,5,true,true,450000,1285000,,1935000
299,Rio de Janeiro,70,2,1,1,3,true,true,80000,130000,,216100
300,Porto Alegre,300,6,2,2,-,true,true,0,600000,,634900
301,São Paulo,220,4,5,3,14,true,true,205000,1200000,,1495000
302,Porto Alegre,64,2,2,2,7,true,true,45000,160000,,210800
303,Rio de Janeiro,80,3,3,1,7,true,true,110000,147000,,258900
304,São Paulo,56,1,1,0,9,true,true,62500,250000,,323800
305,São Paulo,161,4,3,2,1,true,true,145000,1000000,,1204000
306,São Paulo,35,1,1,0,-,true,true,35000,135000,,171800
307,São Paulo,720,4,6,5,-,true,true,0,1275000,,1556000
308,São Paulo,280,4,5,4,6,true,true,250000,320000,,649100
309,Porto Alegre,96,3,2,0,2,true,true,40800,210000,,262300
310,Campinas,236,3,4,4,10,true,true,160000,1100000,,1318000
311,São Paulo,81,3,2,1,4,true,true,20400,151000,,173400
312,São Paulo,62,2,1,1,1,true,true,58000,165000,,234300
313,Belo Horizonte,125,3,2,0,2,true,true,15000,120000,,143500
314,São Paulo,37,1,1,1,6,true,true,89000,415000,,520300
315,São Paulo,60,2,2,1,11,true,true,168000,400000,,593100
316,São Paulo,230,4,2,3,1,true,true,360000,500000,,1022000
317,São Paulo,210,4,5,2,1,true,true,380000,850000,,1241000
318,São Paulo,450,4,3,8,-,true,true,0,1400000,,1439000
319,São Paulo,234,3,5,4,-,true,true,0,368000,,413600
320,Belo Horizonte,135,4,3,2,2,true,true,86800,245000,,365900
321,São Paulo,395,4,5,3,-,true,true,0,600000,,621300
322,Porto Alegre,92,2,2,1,2,true,true,45000,170000,,224200
323,São Paulo,412,3,5,6,21,true,true,200000,395200,,646200
324,São Paulo,42,1,1,1,27,true,true,56000,530000,,602800
325,São Paulo,33,1,1,0,12,true,true,38500,300000,,354900
326,Porto Alegre,28,2,1,1,-,true,true,0,60000,,61100
327,São Paulo,190,4,4,2,-,true,true,0,445000,,474000
328,São Paulo,165,4,3,3,10,true,true,244000,630000,,1011000
329,Porto Alegre,44,1,1,0,5,true,true,35500,120000,,159300
330,São Paulo,60,2,1,1,4,true,true,60300,127500,,200400
331,São Paulo,380,3,3,2,1,true,true,358000,1100000,,1580000
332,Rio de Janeiro,73,2,1,0,4,true,true,37500,83000,,133600
333,Belo Horizonte,19,1,1,0,5,true,true,62000,110000,,182000
334,Campinas,230,3,5,4,6,true,true,180000,750000,,939600
335,Porto Alegre,37,1,1,1,2,true,true,50000,250000,,303700
336,São Paulo,124,3,2,3,7,true,true,145000,660000,,843400
337,Rio de Janeiro,115,3,2,1,8,true,true,109000,268000,,391900
338,Campinas,600,3,3,4,-,true,true,0,550000,,596700
339,Rio de Janeiro,700,5,5,4,-,true,true,138000,1500000,,1828000
340,Porto Alegre,35,1,1,0,1,true,true,10000,81500,,94400
341,Belo Horizonte,15,1,1,0,3,true,true,0,110000,,111500
342,Campinas,80,3,2,1,2,true,true,57000,145000,,216400
343,Porto Alegre,48,1,1,0,4,true,true,20000,70000,,94900
344,Belo Horizonte,96,3,2,1,2,true,true,92200,150000,,257900
345,São Paulo,150,3,2,1,7,true,true,184300,671500,,898400
346,Belo Horizonte,105,3,2,2,2,true,true,168100,330000,,541500
347,Belo Horizonte,204,4,4,4,22,true,true,270100,1000000,,1360000
348,Rio de Janeiro,125,3,1,2,11,true,true,131700,260000,,412000
349,Rio de Janeiro,50,2,1,0,3,true,true,49000,230000,,287000
350,São Paulo,250,3,4,3,-,true,true,0,374000,,403100
351,São Paulo,300,3,4,3,7,true,true,300000,200000,,627600
352,São Paulo,80,2,1,1,-,true,true,0,150000,,157800
353,Rio de Janeiro,130,3,4,1,2,true,true,120000,140000,,295300
354,São Paulo,120,2,3,0,2,true,true,90400,330000,,444100
355,São Paulo,540,3,3,4,9,true,true,620000,1500000,,2489000
356,São Paulo,23,1,1,0,23,true,true,39200,210000,,256000
357,São Paulo,15,1,1,0,-,true,true,0,250000,,253200
358,São Paulo,72,1,2,2,19,true,true,90000,400000,,515100
359,Rio de Janeiro,95,3,2,2,7,true,true,98500,230000,,343700
360,São Paulo,330,4,5,4,13,true,true,287000,1000000,,1412000
361,São Paulo,75,2,2,2,7,true,true,160000,660000,,868400
362,São Paulo,53,1,1,1,4,true,true,69000,439800,,534400
363,São Paulo,178,3,2,1,2,true,true,120000,190000,,330500
364,São Paulo,150,3,2,0,-,true,true,0,400000,,408500
365,São Paulo,50,2,1,1,4,true,true,52000,120000,,176600
366,São Paulo,150,3,2,1,-,true,true,0,250000,,259700
367,Porto Alegre,25,1,1,0,-,true,true,28600,98400,,129600
368,São Paulo,210,3,4,4,13,true,true,315000,1200000,,1646000
369,Belo Horizonte,75,3,2,1,4,true,true,60000,150000,,219500
370,Belo Horizonte,200,2,4,3,12,true,true,189700,1500000,,1792000
371,São Paulo,350,4,4,0,-,true,true,0,800000,,911000
372,Porto Alegre,49,2,1,1,7,true,true,36000,115000,,155700
373,Porto Alegre,40,1,1,0,4,true,true,0,200000,,203000
374,São Paulo,45,1,1,1,2,true,true,190000,420000,,650400
375,São Paulo,46,1,1,1,8,true,true,90000,760000,,871500
376,São Paulo,80,2,2,2,15,true,true,200000,1100000,,1314000
377,São Paulo,30,1,1,0,3,true,true,40000,285000,,328700
378,São Paulo,80,2,2,2,-,true,true,5000,220000,,245700
379,Rio de Janeiro,105,2,2,1,10,true,true,178000,153000,,346400
380,Belo Horizonte,105,3,2,2,7,true,true,117000,200000,,341600
381,São Paulo,114,3,1,0,-,true,true,0,257000,,275900
382,São Paulo,200,3,3,4,-,true,true,0,700000,,753100
383,Porto Alegre,120,3,3,2,5,true,true,80000,300000,,401100
384,São Paulo,60,2,2,1,11,true,true,64700,400000,,471900
385,São Paulo,90,2,1,1,1,true,true,100000,300000,,408900
386,Rio de Janeiro,53,2,1,0,3,true,true,53500,180000,,240900
387,São Paulo,80,2,2,5,-,true,true,0,300000,,310500
388,Campinas,87,4,2,2,4,true,true,78400,160000,,251100
389,Rio de Janeiro,110,3,1,1,1,true,true,55700,500000,,581000
390,Belo Horizonte,113,4,2,1,3,true,true,158700,400000,,607000
391,São Paulo,170,3,2,2,5,true,true,219900,500000,,768600
392,São Paulo,150,3,2,0,1,true,true,70000,300000,,378100
393,Porto Alegre,60,2,2,1,11,true,true,46900,150000,,204200
394,Porto Alegre,43,1,1,0,4,true,true,29000,210000,,248700
395,São Paulo,130,3,2,2,4,true,true,80000,350000,,434500
396,São Paulo,69,3,2,0,7,true,true,65000,190000,,276000
397,Campinas,306,3,2,2,-,true,true,0,250000,,296000
398,São Paulo,187,3,2,3,-,true,true,50000,350000,,424600
399,São Paulo,385,3,4,3,-,true,true,0,900000,,1064000
400,São Paulo,355,4,4,3,-,true,true,0,730000,,807000
401,Porto Alegre,90,2,1,1,2,true,true,40500,110000,,190200
402,São Paulo,190,3,4,4,-,true,true,0,500000,,535100
403,Campinas,181,2,1,2,-,true,true,0,140000,,155400
404,São Paulo,350,3,5,4,13,true,true,400000,349000,,928500
405,Belo Horizonte,168,5,3,2,2,true,true,144300,290000,,479000
406,Rio de Janeiro,73,2,1,0,1,true,true,160000,280000,,464100
407,São Paulo,378,5,5,4,4,true,true,400000,300000,,903900
408,Campinas,60,2,1,1,-,true,true,0,130000,,150000
409,Belo Horizonte,362,4,5,0,19,true,true,413800,1500000,,2131000
410,São Paulo,90,3,2,0,-,true,true,0,170000,,186200
411,Rio de Janeiro,42,1,1,0,4,true,true,50000,197300,,257800
412,Rio de Janeiro,56,2,1,1,18,true,true,56800,100000,,166900
413,São Paulo,16,1,1,0,1,true,true,0,85000,,89100
414,São Paulo,90,2,2,2,15,true,true,140000,1000000,,1153000
415,Belo Horizonte,67,1,1,0,13,true,true,37500,85000,,129200
416,São Paulo,488,4,3,3,-,true,true,1413000,640000,,2182000
417,Rio de Janeiro,30,1,1,0,10,true,true,85000,110000,,202500
418,São Paulo,290,6,3,4,-,true,true,0,800000,,964600
419,São Paulo,266,3,3,4,10,true,true,470000,640000,,1268000
420,Campinas,47,2,1,1,4,true,true,26000,90000,,119700
